id,annotator_id,image_id,x_min,y_min,width,height
0,0,0,72,0,440,196
1,0,0,71,124,441,437
2,0,0,0,424,502,344
3,0,1,124,0,362,967
4,0,1,0,0,402,806
5,0,1,0,0,221,683
6,0,1,569,102,99,898
7,0,2,0,88,116,680
8,0,2,15,15,211,601
9,0,2,151,0,200,575
10,0,2,285,0,156,551
11,0,2,422,0,90,539
12,0,3,0,0,347,857
13,0,3,229,0,819,975
14,0,3,987,0,522,1074
15,0,3,1483,4,225,1139
16,0,3,934,1219,774,1181
17,0,3,0,1086,1235,1314
18,0,3,0,926,420,887
19,0,4,0,143,312,1857
20,0,4,246,105,479,1651
21,0,4,554,137,514,1520
22,0,4,836,241,500,1521
23,0,5,0,0,344,1752
24,0,5,154,0,552,1816
25,0,5,630,0,686,1775
26,0,6,0,138,318,862
27,0,6,315,102,304,898
28,0,7,58,433,158,439
29,0,7,181,215,238,657
30,0,7,308,177,290,687
31,0,7,516,263,148,529
32,0,8,0,0,179,516
33,0,8,148,0,186,606
34,0,8,319,0,181,616
35,0,9,77,306,266,524
36,0,9,304,302,233,502
37,0,9,407,273,252,463
38,0,9,0,349,112,362
39,0,10,0,305,224,895
40,0,10,110,301,328,899
41,0,10,415,291,331,909
42,0,10,649,253,207,943
43,0,11,247,161,216,607
44,0,11,100,189,201,564
45,0,12,0,8,155,636
46,0,12,106,0,220,660
47,0,12,288,0,149,465
48,0,12,426,0,140,432
49,0,12,526,0,138,446
50,0,13,0,1120,961,1280
51,0,13,671,0,640,998
52,0,13,1262,0,446,960
53,0,13,869,1112,591,1288
54,0,13,1342,1143,366,1257
55,0,14,0,132,123,554
56,0,14,202,149,156,619
57,0,14,335,154,168,543
58,0,15,0,0,222,532
59,0,15,54,69,303,621
60,0,15,256,155,254,601
61,0,15,368,238,144,530
62,0,16,148,0,361,986
63,0,16,0,0,415,879
64,0,16,0,0,226,744
65,0,16,477,110,178,560
66,0,17,0,177,108,695
67,0,17,41,177,238,695
68,0,17,271,198,255,674
69,0,17,432,197,232,631
70,0,18,0,24,168,643
71,0,18,48,0,230,475
72,0,18,201,0,138,451
73,0,18,310,0,123,475
74,0,18,407,0,105,552
75,0,19,481,195,183,677
76,0,19,270,36,223,836
77,0,19,97,138,257,720
78,0,19,0,147,210,617
79,0,20,0,0,545,1002
80,0,20,401,0,803,998
81,0,20,351,1253,690,1147
82,0,20,0,1238,382,1162
83,0,21,0,166,296,706
84,0,21,156,343,213,529
85,0,21,367,310,175,383
86,0,21,495,149,169,715
87,0,22,315,0,197,683
88,0,22,126,95,203,556
89,0,22,0,41,178,559
90,0,23,18,52,289,716
91,0,23,0,41,151,633
92,0,23,378,151,134,617
93,0,24,0,191,116,681
94,0,24,57,192,242,680
95,0,24,254,183,275,689
96,0,24,448,169,216,703
97,0,25,206,221,206,651
98,0,25,64,241,189,606
99,0,25,378,397,198,475
100,0,25,523,309,141,563
101,0,26,124,262,276,610
102,0,26,320,199,315,673
103,0,26,476,86,188,761
104,0,26,0,192,166,680
105,0,27,0,0,303,1314
106,0,27,68,0,400,1171
107,0,27,398,0,416,1546
108,0,27,706,0,559,1397
109,0,27,1024,0,312,1841
110,0,28,0,117,168,534
111,0,28,245,90,144,672
112,0,28,372,74,140,621
113,0,29,0,240,123,760
114,0,29,28,127,222,873
115,0,29,183,67,259,860
116,0,29,375,43,218,778
117,0,29,564,22,104,803
118,0,30,316,0,196,697
119,0,30,124,83,201,562
120,0,30,0,40,173,559
121,0,31,134,0,378,1000
122,0,31,0,127,410,838
123,0,31,0,0,178,840
124,0,31,361,821,257,179
125,0,32,0,0,266,598
126,0,32,0,61,324,742
127,0,32,156,205,309,667
128,0,32,310,190,246,682
129,0,32,540,393,124,479
130,0,33,0,349,122,523
131,0,33,88,346,244,526
132,0,33,321,338,216,534
133,0,33,501,331,163,541
134,0,34,45,595,499,277
135,0,34,79,310,585,458
136,0,34,119,116,545,260
137,0,34,144,0,520,223
138,0,35,0,260,325,1740
139,0,35,0,63,630,1677
140,0,35,312,44,496,1505
141,0,35,716,711,384,1191
142,0,35,1017,41,319,1661
143,0,36,0,35,227,557
144,0,36,104,0,215,507
145,0,36,299,258,163,391
146,0,36,368,0,144,546
147,0,36,0,166,98,533
148,0,37,0,100,149,686
149,0,37,0,96,253,723
150,0,37,295,166,163,357
151,0,37,450,109,214,706
152,0,38,0,241,129,489
