bbox_id,attribute_id
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,5
15,4
16,0
17,1
18,2
19,7
20,8
21,9
22,10
23,3
24,14
25,6
26,6
27,15
28,16
29,17
30,18
31,19
32,11
33,20
34,21
35,6
36,15
37,16
38,14
39,14
40,6
41,15
42,16
43,3
44,4
45,22
46,7
47,8
48,9
49,10
50,1
51,5
52,4
53,0
54,22
55,8
56,10
57,11
58,20
59,21
60,23
61,24
62,3
63,4
64,5
65,14
66,14
67,6
68,15
69,16
70,7
71,8
72,9
73,10
74,11
75,14
76,3
77,4
78,5
79,25
80,26
81,27
82,24
83,15
84,16
85,17
86,18
87,3
88,4
89,5
90,3
91,4
92,6
93,14
94,6
95,15
96,16
97,3
98,4
99,14
100,6
101,6
102,15
103,16
104,14
105,8
106,9
107,10
108,11
109,20
110,8
111,10
112,11
113,22
114,7
115,8
116,9
117,10
118,3
119,4
120,5
121,3
122,4
123,5
124,14
125,13
126,5
127,4
128,3
129,14
130,14
131,6
132,15
133,16
134,2
135,1
136,0
137,22
138,7
139,8
140,9
141,10
142,11
143,8
144,9
145,10
146,11
147,7
148,14
149,6
150,15
151,16
152,14
153,6
154,15
155,16
156,16
157,17
158,18
159,13
160,12
161,5
162,4
163,3
164,17
165,18
166,19
167,14
168,15
169,14
170,3
171,4
172,5
173,3
174,14
175,6
176,4
177,6
178,15
179,16
180,17
181,18
182,4
183,3
184,14
185,6
186,4
187,3
188,14
189,6
190,17
191,18
192,19
193,25
194,17
195,18
196,14
197,3
198,6
199,15
200,8
201,9
202,11
203,20
204,8
205,9
206,10
207,11
208,6
209,15
210,16
211,17
212,18
213,1
214,2
215,0
216,22
217,22
218,7
219,8
220,9
221,11
222,20
223,21
224,23
225,15
226,6
227,16
228,17
229,18
230,15
231,6
232,16
233,7
234,8
235,9
236,10
237,11
238,20
239,8
240,9
241,10
242,11
243,20
244,6
245,15
246,16
247,1
248,2
249,0
250,22
251,13
252,5
253,4
254,22
255,0
256,1
257,15
258,16
259,17
260,18
261,19
262,15
263,6
264,14
265,3
266,16
267,17
268,18
269,16
270,17
271,18
272,19
273,6
274,15
275,16
276,17
277,18
278,1
279,0
280,22
281,16
282,17
283,18
284,19
285,13
286,5
287,4
288,3
289,14
290,20
291,11
292,10
293,9
294,8
295,9
296,10
297,11
298,15
299,16
300,17
301,7
302,8
303,9
304,10
305,0
306,22
307,7
308,6
309,15
310,0
311,22
312,7
313,8
314,18
315,19
316,25
317,27
318,24
319,23
320,21
321,6
322,15
323,16
324,22
325,7
326,8
327,9
328,10
329,15
330,16
331,17
332,8
333,10
334,11
335,10
336,11
337,20
338,21
339,23
340,3
341,4
342,6
343,16
344,17
345,18
346,19
347,25
348,6
349,15
350,14
351,3
352,14
353,3
354,4
355,14
356,6
357,15
358,7
359,8
360,9
361,10
362,11
363,15
364,16
365,17
366,18
367,3
368,4
369,14
370,6
371,14
372,3
373,4
374,6
375,16
376,17
377,18
378,19
379,25
380,11
381,20
382,21
383,23
384,17
385,18
386,19
387,25
388,24
389,23
390,21
391,1
392,2
393,0
394,6
395,15
396,16
397,14
398,1
399,0
400,22
401,7
402,8
403,15
404,16
405,17
406,18
407,7
408,8
409,9
410,11
411,20
412,8
413,10
414,11
415,3
416,4
417,5
418,4
419,5
420,13
421,3
422,14
423,1
424,0
425,22
426,7
427,14
428,6
429,3
430,4
431,16
432,15
433,17
434,18
435,19
436,6
437,15
438,16
439,17
440,2
441,1
442,0
443,10
444,11
445,20
446,21
447,7
448,8
449,9
450,10
451,11
452,20
453,16
454,17
455,18
456,14
457,6
458,15
459,8
460,9
461,11
462,20
463,8
464,9
465,10
466,11
467,6
468,15
469,16
470,17
471,18
472,16
473,17
474,18
475,19
476,6
477,15
478,16
479,22
480,7
481,8
482,9
483,10
484,6
485,15
486,16
487,8
488,9
489,10
490,11
491,20
492,8
493,9
494,10
495,11
496,20
497,20
498,21
499,23
500,24
501,14
502,6
503,15
504,16
505,15
506,16
507,17
508,18
509,7
510,8
511,9
512,10
513,11
514,20
515,15
516,14
517,9
518,10
519,11
520,20
521,16
522,17
523,18
524,19
525,20
526,21
527,23
528,24
529,18
530,19
531,25
532,24
533,23
534,21
535,10
536,9
537,8
538,7
539,22
540,16
541,17
542,6
543,14
544,15
545,8
546,9
547,10
548,11
549,20
550,7
551,8
552,9
553,10
554,6
555,15
556,16
557,17
558,8
559,9
560,10
561,11
562,20
563,12
564,13
565,5
566,1
567,2
568,20
569,21
570,23
571,24
572,3
573,4
574,5
575,17
576,18
577,19
578,3
579,14
580,4
581,5
582,15
583,16
584,17
585,18
586,6
587,14
588,15
589,16
590,0
591,1
592,2
593,20
594,21
595,23
596,14
597,3
598,4
599,5
600,13
601,10
602,11
603,20
604,21
605,21
606,20
607,11
608,20
609,6
610,14
611,3
612,7
613,8
614,9
615,10
616,11
617,16
618,17
619,18
620,3
621,14
622,4
623,6
624,3
625,4
626,5
627,25
628,26
629,28
630,29
631,27
632,24
633,22
634,7
635,8
636,9
637,7
638,8
639,9
640,10
641,16
642,17
643,18
644,8
645,9
646,10
647,11
648,21
649,20
650,11
651,10
652,3
653,4
654,5
655,6
656,14
657,3
658,4
659,2
660,1
661,0
662,22
663,16
664,17
665,18
666,19
667,13
668,5
669,4
670,0
671,1
672,2
673,15
674,16
675,17
676,18
677,20
678,21
679,23
680,24
681,4
682,5
683,3
684,6
685,25
686,19
687,18
688,17
689,3
690,14
691,4
692,5
693,13
694,17
695,18
696,19
697,25
698,24
699,23
700,21
701,18
702,19
703,25
704,27
705,24
706,23
707,21
708,16
709,17
710,18
711,22
712,7
713,8
714,9
715,3
716,4
717,6
718,0
719,22
720,7
721,8
722,9
723,10
724,6
725,15
726,16
727,17
728,6
729,14
730,3
731,8
732,7
733,10
734,1
735,0
736,22
737,2
738,4
739,3
740,6
741,14
742,3
743,13
744,5
745,4
746,7
747,8
748,9
749,10
750,11
751,20
752,20
753,11
754,10
755,9
756,8
757,14
758,3
759,4
760,14
761,3
762,4
763,20
764,11
765,10
766,9
767,8
768,7
769,6
770,15
771,16
772,3
773,14
774,6
775,15
776,22
777,7
778,8
779,9
780,10
781,7
782,8
783,9
784,10
785,16
786,17
787,18
788,8
789,9
790,10
791,11
792,20
793,8
794,7
795,22
796,0
797,11
798,20
799,21
800,23
801,24
802,10
803,11
804,20
805,21
806,15
807,16
808,6
809,7
810,8
811,9
812,10
813,8
814,10
815,11
816,15
817,16
818,17
819,18
820,6
821,15
822,16
823,7
824,8
825,9
826,10
827,11
828,22
829,0
830,7
831,8
832,9
833,10
834,14
835,15
836,3
837,14
838,4
839,5
840,8
841,7
842,9
843,10
844,6
845,15
846,16
847,22
848,7
849,8
850,9
851,19
852,25
853,26
854,27
855,24
856,23
857,17
858,18
859,19
860,25
861,14
862,6
863,15
864,3
865,4
866,3
867,14
868,3
869,14
870,4
871,9
872,10
873,11
874,20
875,21
876,6
877,15
878,16
879,6
880,15
881,16
882,17
883,14
884,6
885,3
886,4
887,6
888,14
889,3
890,7
891,8
892,22
893,8
894,9
895,11
896,20
897,6
898,15
899,16
900,6
901,14
902,3
903,15
904,3
905,4
906,6
907,14
908,6
909,15
910,30
911,12
912,13
913,31
914,2
915,1
916,15
917,16
918,17
919,15
920,16
921,17
922,11
923,10
924,20
925,21
926,10
927,11
928,8
929,18
930,19
931,25
932,24
933,23
934,21
935,10
936,9
937,8
938,7
939,3
940,14
941,6
942,15
943,3
944,14
945,6
946,11
947,20
948,21
949,9
950,8
951,20
952,11
953,10
954,9
955,8
956,21
957,20
958,11
959,10
960,6
961,14
962,3
963,4
964,9
965,8
966,7
967,20
968,11
969,10
970,9
971,6
972,15
973,16
974,16
975,17
976,18
977,20
978,21
979,11
980,10
981,3
982,4
983,5
984,16
985,17
986,18
987,3
988,14
989,6
990,15
991,3
992,4
993,14
994,18
995,19
996,27
997,24
998,23
999,14
1000,6
1001,15
1002,16
1003,3
1004,14
1005,6
1006,15
1007,16
1008,20
1009,11
1010,10
1011,9
1012,8
1013,14
1014,6
1015,15
1016,16
1017,6
1018,15
1019,16
1020,6
1021,15
1022,16
1023,17
1024,18
1025,19
1026,25
1027,20
1028,11
1029,10
1030,9
1031,15
1032,6
1033,31
1034,2
1035,1
1036,0
1037,22
1038,6
1039,15
1040,16
1041,14
1042,4
1043,3
1044,14
1045,15
1046,16
1047,17
1048,18
1049,7
1050,8
1051,25
1052,26
1053,27
1054,24
1055,19
1056,25
1057,26
1058,24
1059,23
